time,logger,level,database,message,exception
2013-02-23 19:21:42.1789,Raven.Database.Server.HttpServer,Debug,,Request #  38: GET     -    54 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 19:51:08.2009,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 19:51:08.2009,Raven.Database.Server.HttpServer,Debug,,Request #  39: GET     -    65 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 19:55:35.9882,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 19:55:35.9882,Raven.Database.Server.HttpServer,Debug,,Request #  40: GET     -    55 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 19:55:52.1321,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 19:55:52.1321,Raven.Database.Server.HttpServer,Debug,,Request #  41: GET     -    50 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 19:58:45.6230,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 19:58:45.6230,Raven.Database.Server.HttpServer,Debug,,Request #  42: GET     -    30 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 20:08:22.7481,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 20:08:22.7481,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 20:11:12.0917,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 20:11:12.0917,Raven.Database.Server.HttpServer,Debug,,Request #  43: GET     -    49 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 20:13:54.3040,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 20:13:54.3040,Raven.Database.Server.HttpServer,Debug,,Request #  44: GET     -    40 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 20:16:05.2395,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 20:16:05.2395,Raven.Database.Server.HttpServer,Debug,,Request #  45: GET     -    39 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 20:23:12.5980,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
